ticker,name,name_simple,average_comments,exclusion
CDAY,Ceridian HCM Holding Inc.,Ceridian,1.42307692307692,1
CDNS,Cadence Design Systems Inc.,Cadence Design,1.85714285714285,0
CDW,CDW Corporation,CDW Corporation,1.57142857142857,1
CE,Celanese Corporation,Celanese,2.31666666666666,0
CEG,Constellation Energy Corporation,Constellation Energy,1.44444444444444,1
CF,CF Industries Holdings Inc.,CF Industries,2.76344086021505,0
CFG,Citizens Financial Group Inc.,Citizens Financial,2.22222222222222,1
CHD,Church & Dwight Co. Inc.,Church & Dwight,1.93617021276595,0
CHRW,C.H. Robinson Worldwide Inc.,Robinson World,1.33333333333333,0
CHRW,C.H. Robinson Worldwide Inc.,CH Robinson,1.33333333333333,0
CHTR,Charter Communications Inc. Class A,Charter Communications,1.93650793650793,0
CI,Cigna Group,Cigna,2.7840909090909,0
CINF,Cincinnati Financial Corporation,Cincinnati Financial,1.18181818181818,0
CL,Colgate-Palmolive Company,Colgate,3.63461538461538,0
CLX,Clorox Company,Clorox,4.10294117647058,0
CMA,Comerica Incorporated,Comerica,2.73770491803278,0
CMCSA,Comcast Corporation Class A,Comcast,5.68965517241379,0
CME,CME Group Inc. Class A,CME Group,3.82795698924731,0
CMG,Chipotle Mexican Grill Inc.,Chipotle,8.65217391304347,0
CMI,Cummins Inc.,Cummins,2.5,0
CMS,CMS Energy Corporation,CMS Energy,2.04838709677419,0
CNC,Centene Corporation,Centene,2.50724637681159,0
CNP,CenterPoint Energy Inc.,CenterPoint Energy,1.83333333333333,0
COF,Capital One Financial Corp,Capital One,3.2079207920792,0
COO,Cooper Companies Inc.,Cooper Companies,5.1089108910891,0
COP,ConocoPhillips,Conoco,3.11702127659574,0
COST,Costco Wholesale Corporation,Costco,13.3162393162393,0
CPB,Campbell Soup Company,Campbell Soup,3.3,0
CPRT,Copart Inc.,Copart,1.86842105263157,0
CPT,Camden Property Trust,Camden Prop,1.34782608695652,0
CRL,Charles River Laboratories International Inc.,Charles River,1.65306122448979,0
CRM,Salesforce Inc.,Salesforce,12.2586206896551,0
CSCO,Cisco Systems Inc.,Cisco,8.5593220338983,0
CSGP,CoStar Group Inc.,CoStar,1.1875,0
CSX,CSX Corporation,CSX Corporation,3.04,0
CTAS,Cintas Corporation,Cintas,2.60465116279069,0
CTLT,Catalent Inc,Catalent,3.0,1
CTRA,Coterra Energy Inc.,Coterra,2.05882352941176,0
CTSH,Cognizant Technology Solutions Corporation Class A,Cognizant,2.14705882352941,0
CTVA,Corteva Inc,Corteva,1.75,1
CVS,CVS Health Corporation,CVS,8.08490566037735,0
CVX,Chevron Corporation,Chevron,8.46428571428571,0
CZR,Caesars Entertainment Inc,Caesars Entertainment,4.44444444444444,1
D,Dominion Energy Inc,Dominion Energy,41.1,0
DAL,Delta Air Lines Inc.,Delta Air,10.020618556701,0
DD,DuPont de Nemours Inc.,DuPont,127.117647058823,0
DE,Deere & Company,Deere,5.37962962962963,0
DE,Deere & Company,John Deere,5.37962962962963,0
DFS,Discover Financial Services,Discover Financial,3.12676056338028,0
DG,Dollar General Corporation,Dollar General,4.89024390243902,0
DGX,Quest Diagnostics Incorporated,Quest Diagnostics,2.66037735849056,0
DHI,D.R. Horton Inc.,Horton,3.49180327868852,0
DHR,Danaher Corporation,Danaher,2.8030303030303,0
DIS,Walt Disney Company,Walt Disney,43.1848739495798,0
DIS,Walt Disney Company,Disney,43.1848739495798,0
DISH,DISH Network Corporation Class A,DISH Net,4.22807017543859,0
DLR,Digital Realty Trust Inc.,Digital Realty Trust,2.05882352941176,0
DLTR,Dollar Tree Inc.,Dollar Tree,3.65822784810126,0
DOV,Dover Corporation,Dover,1.45238095238095,0
DOW,Dow Inc.,Dow,52.65,1
DPZ,Domino's Pizza Inc.,Domino's Pizza,3.87341772151898,0
DPZ,Domino's Pizza Inc.,Dominos Pizza,3.87341772151898,0
DPZ,Domino's Pizza Inc.,Domino Pizza,3.87341772151898,0
DRI,Darden Restaurants Inc.,Darden Restaurants,3.31818181818181,0
DTE,DTE Energy Company,DTE Energy,4.21875,0
DUK,Duke Energy Corporation,Duke Energy,3.2,0
DUK,Duke Energy Corporation,Duke,3.2,0
DVA,DaVita Inc.,DaVita,1.56097560975609,0
DVN,Devon Energy Corporation,Devon Energy,2.38709677419354,0
DXC,DXC Technology Co.,DXC Tech,1.97297297297297,0
DXCM,DexCom Inc.,DexCom,2.84313725490196,0
EA,Electronic Arts Inc.,Electronic Arts,7.5090909090909,0
EBAY,eBay Inc.,eBay,9.69166666666666,0
ECL,Ecolab Inc.,Ecolab,2.17073170731707,0
ED,Consolidated Edison Inc.,Consolidated Edison,2.13846153846153,0
EFX,Equifax Inc.,Equifax,4.09433962264151,0
EIX,Edison International,Edison,2.46666666666666,0
EL,Estee Lauder Companies Inc. Class A,Estee,3.13432835820895,0
ELV,Elevance Health Inc.,Elevance Health,1.5,0
ELV,Elevance Health Inc.,Elevance,1.5,0
EMN,Eastman Chemical Company,Eastman Chemical,1.32258064516129,0
EMR,Emerson Electric Co.,Emerson,1.97058823529411,0
ENPH,Enphase Energy Inc.,Enphase Energy,9.81967213114754,0
EOG,EOG Resources Inc.,EOG Resources,1.76271186440677,0
EPAM,EPAM Systems Inc.,EPAM Systems,1.75,0
EQIX,Equinix Inc.,Equinix,2.09803921568627,0
EQR,Equity Residential,Equity Residential,1.53846153846153,0
EQT,EQT Corporation,EQT Corp,1.84210526315789,0
ES,Eversource Energy,Eversource,4.65979381443299,0
ESS,Essex Property Trust Inc.,Essex Property,1.62857142857142,0
ETN,Eaton Corp. Plc,Eaton,4.17171717171717,0
ETR,Entergy Corporation,Entergy,1.94285714285714,0
ETSY,Etsy Inc.,Etsy,8.66666666666666,1
EVRG,Evergy Inc.,Evergy,1.66666666666666,0
EW,Edwards Lifesciences Corporation,Edwards Lifesciences,2.1090909090909,0
